TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10007,001,2025-08-21,15,35,1,2025-08-21 15:35:00,WED3240401322,False
10007,001,2025-08-22,7,22,0,2025-08-22 07:22:00,CGCA231160041,False
10007,001,2025-08-22,15,33,1,2025-08-22 15:33:00,WED3240401322,False
10007,001,2025-08-23,7,27,0,2025-08-23 07:27:00,CGCA231160041,False
10007,001,2025-08-23,15,31,1,2025-08-23 15:31:00,WED3240401322,False
10007,001,2025-08-25,7,25,0,2025-08-25 07:25:00,CGCA231160041,False
10007,001,2025-08-25,15,30,1,2025-08-25 15:30:00,WED3240401322,False
10007,001,2025-08-26,7,25,0,2025-08-26 07:25:00,CGCA231160041,False
10007,001,2025-08-26,15,31,1,2025-08-26 15:31:00,WED3240401322,False
10007,001,2025-08-28,7,32,0,2025-08-28 07:32:00,CGCA231160041,False
10007,001,2025-08-28,15,30,1,2025-08-28 15:30:00,WED3240401322,False
10007,001,2025-08-29,7,25,0,2025-08-29 07:25:00,CGCA231160041,False
10007,001,2025-08-29,15,32,1,2025-08-29 15:32:00,WED3240401322,False
10007,001,2025-08-30,7,35,0,2025-08-30 07:35:00,CGCA231160041,False
10007,001,2025-08-30,15,31,1,2025-08-30 15:31:00,WED3240401322,False
10007,001,2025-09-16,7,32,0,2025-09-16 07:32:00,CGCA231160041,False
10009,001,2025-08-01,9,59,0,2025-08-01 09:59:00,CGCA231160041,False
10009,001,2025-08-01,12,0,1,2025-08-01 12:00:00,WED3240401322,False
10009,001,2025-08-02,9,53,0,2025-08-02 09:53:00,CGCA231160041,False
10009,001,2025-08-02,12,1,1,2025-08-02 12:01:00,WED3240401322,False
10009,001,2025-08-03,10,8,0,2025-08-03 10:08:00,CGCA231160041,False
10009,001,2025-08-03,12,1,1,2025-08-03 12:01:00,WED3240401322,False
10009,001,2025-08-04,10,2,0,2025-08-04 10:02:00,CGCA231160041,False
10009,001,2025-08-04,12,7,1,2025-08-04 12:07:00,WED3240401322,False
10009,001,2025-08-06,10,21,0,2025-08-06 10:21:00,CGCA231160041,False
