TOKEN,PDATE,PDTIME,MCIP
8090,2024-04-01,2024-04-01 14:17:00,CGCA222560183
4108,2024-04-01,2024-04-01 14:20:00,CGCA222560183
8005,2024-04-01,2024-04-01 14:20:00,CGCA222560176
4074,2024-04-01,2024-04-01 14:20:00,CGCA222560183
2011,2024-04-01,2024-04-01 14:20:00,CGCA222560183
3023,2024-04-01,2024-04-01 14:21:00,CGCA222560155
4084,2024-04-01,2024-04-01 14:22:00,CGCA222560183
2001,2024-04-01,2024-04-01 14:30:00,CGCA222560183
11369,2024-04-01,2024-04-01 14:31:00,CGCA222560155
3023,2024-04-01,2024-04-01 14:34:00,CGCA222560155
11436,2024-04-01,2024-04-01 14:40:00,CGCA222560023
7,2024-04-01,2024-04-01 14:49:00,CGCA222560183
11527,2024-04-01,2024-04-01 14:50:00,CGCA222560183
11444,2024-04-01,2024-04-01 14:50:00,CGCA222560023
11546,2024-04-01,2024-04-01 14:54:00,CGCA222560155
3019,2024-04-01,2024-04-01 15:02:00,CGCA222560175
4113,2024-04-01,2024-04-01 15:03:00,CGCA222560183
11310,2024-04-01,2024-04-01 15:08:00,CGCA222560023
2011,2024-04-01,2024-04-01 15:08:00,CGCA222560183
11362,2024-04-01,2024-04-01 15:09:00,CGCA222560175
4109,2024-04-01,2024-04-01 15:10:00,CGCA222560183
11546,2024-04-01,2024-04-01 15:12:00,CGCA201262943
8090,2024-04-01,2024-04-01 15:14:00,CGCA222560183
3,2024-04-01,2024-04-01 15:23:00,CGCA222560155
8236,2024-04-01,2024-04-01 15:25:00,CGCA222560176
3023,2024-04-01,2024-04-01 15:33:00,CGCA222560155
11454,2024-04-01,2024-04-01 15:37:00,CGCA222560175
3019,2024-04-01,2024-04-01 15:38:00,CGCA222560175
11523,2024-04-01,2024-04-01 15:44:00,CGCA222560155
11014,2024-04-01,2024-04-01 15:44:00,CGCA222560155
11150,2024-04-01,2024-04-01 15:44:00,CGCA222560155
11121,2024-04-01,2024-04-01 15:45:00,CGCA222560175
11153,2024-04-01,2024-04-01 15:46:00,CGCA201262943
11538,2024-04-01,2024-04-01 15:48:00,CGCA201262943
11072,2024-04-01,2024-04-01 15:50:00,CGCA222560155
11232,2024-04-01,2024-04-01 15:51:00,CGCA222560155
11545,2024-04-01,2024-04-01 15:51:00,CGCA222560155
11468,2024-04-01,2024-04-01 15:52:00,CGCA222560155
11541,2024-04-01,2024-04-01 15:52:00,CGCA222560155
11518,2024-04-01,2024-04-01 15:55:00,CGCA222560023
3019,2024-04-01,2024-04-01 15:55:00,CGCA222560175
11167,2024-04-01,2024-04-01 15:56:00,CGCA222560023
11336,2024-04-01,2024-04-01 15:57:00,CGCA222560155
11561,2024-04-01,2024-04-01 15:58:00,CGCA222560023
8278,2024-04-01,2024-04-01 15:59:00,CGCA222560176
11508,2024-04-01,2024-04-01 15:59:00,CGCA222560023
11263,2024-04-01,2024-04-01 15:59:00,CGCA222560155
11038,2024-04-01,2024-04-01 16:00:00,CGCA222560155
11558,2024-04-01,2024-04-01 16:00:00,CGCA222560023
11207,2024-04-01,2024-04-01 16:00:00,CGCA222560175
11544,2024-04-01,2024-04-01 16:00:00,CGCA222560175
11328,2024-04-01,2024-04-01 16:01:00,CGCA222560175
11290,2024-04-01,2024-04-01 16:01:00,CGCA222560175
11059,2024-04-01,2024-04-01 16:01:00,CGCA201262943
11175,2024-04-01,2024-04-01 16:01:00,CGCA201262943
11556,2024-04-01,2024-04-01 16:02:00,CGCA222560023
8041,2024-04-01,2024-04-01 16:02:00,CGCA201262943
11291,2024-04-01,2024-04-01 16:03:00,CGCA222560023
11322,2024-04-01,2024-04-01 16:04:00,CGCA222560023
11330,2024-04-01,2024-04-01 16:04:00,CGCA222560155
199,2024-04-01,2024-04-01 16:04:00,CGCA222560183
175,2024-04-01,2024-04-01 16:05:00,CGCA222560183
11459,2024-04-01,2024-04-01 16:05:00,CGCA222560023
11368,2024-04-01,2024-04-01 16:06:00,CGCA222560023
11493,2024-04-01,2024-04-01 16:06:00,CGCA222560023
11409,2024-04-01,2024-04-01 16:07:00,CGCA222560175
19,2024-04-01,2024-04-01 16:08:00,CGCA222560183
11341,2024-04-01,2024-04-01 16:08:00,CGCA222560023
11168,2024-04-01,2024-04-01 16:08:00,CGCA222560175
11392,2024-04-01,2024-04-01 16:08:00,CGCA222560175
11486,2024-04-01,2024-04-01 16:08:00,CGCA201262943
11457,2024-04-01,2024-04-01 16:09:00,CGCA222560175
11562,2024-04-01,2024-04-01 16:09:00,CGCA222560023
8269,2024-04-01,2024-04-01 16:13:00,CGCA222560176
4090,2024-04-01,2024-04-01 16:19:00,CGCA222560183
11539,2024-04-01,2024-04-01 16:19:00,CGCA201262943
11487,2024-04-01,2024-04-01 16:20:00,CGCA201262943
11334,2024-04-01,2024-04-01 16:20:00,CGCA222560023
8271,2024-04-01,2024-04-01 16:22:00,CGCA222560176
11303,2024-04-01,2024-04-01 16:29:00,CGCA222560175
